,GAME_ID,PLAYER_ID,PLAYER_NAME_LAST_FIRST_home,TEAM_NAME_home,TEAM_ID_home,TEAM_ABBREVIATION_home,PASS_TYPE_home,G_home,PASS_TO_home,PASS_TEAMMATE_PLAYER_ID_home,FREQUENCY_home,PASS_home,AST_home,FGM_home,FGA_home,FG_PCT_home,FG2M_home,FG2A_home,FG2_PCT_home,FG3M_home,FG3A_home,FG3_PCT_home,PLAYER_NAME_LAST_FIRST_away,TEAM_NAME_away,TEAM_ID_away,TEAM_ABBREVIATION_away,PASS_TYPE_away,G_away,PASS_TO_away,PASS_TEAMMATE_PLAYER_ID_away,FREQUENCY_away,PASS_away,AST_away,FGM_away,FGA_away,FG_PCT_away,FG2M_away,FG2A_away,FG2_PCT_away,FG3M_away,FG3A_away,FG3_PCT_away,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,POSITION,mean,std,FREQUENCY
85,21900443,201980,"Green, Danny",Los Angeles Lakers,1610612747,LAL,made,1,"Rondo, Rajon",200765,0.526,10,1,1,2,0.5,0,0,0.0,1,2,0.5,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Danny Green,nan,F,nan,18:08,1.0,4.0,0.25,1.0,3.0,0.333,2.0,3.0,0.667,1.0,3.0,4.0,2.0,0.0,0.0,2.0,2.0,5.0,-4.0,Guard,0.07579927228623384,0.07772953644911912,5.7918874636344
86,21900443,203076,"Davis, Anthony",Los Angeles Lakers,1610612747,LAL,made,1,"Kuzma, Kyle",1628398,0.065,3,1,1,1,1.0,1,1,1.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Anthony Davis,nan,F,nan,33:40:00,13.0,23.0,0.565,1.0,4.0,0.25,5.0,6.0,0.833,5.0,6.0,11.0,1.0,0.0,4.0,5.0,4.0,32.0,-13.0,Forward-Center,0.07763774733637752,0.10299718638018637,-0.12269992783811272
87,21900443,203076,"Davis, Anthony",Los Angeles Lakers,1610612747,LAL,made,1,"Caruso, Alex",1627936,0.087,4,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Anthony Davis,nan,F,nan,33:40:00,13.0,23.0,0.565,1.0,4.0,0.25,5.0,6.0,0.833,5.0,6.0,11.0,1.0,0.0,4.0,5.0,4.0,32.0,-13.0,Forward-Center,0.07763774733637752,0.10299718638018637,0.09089813996534084
88,21900443,203076,"Davis, Anthony",Los Angeles Lakers,1610612747,LAL,made,1,"Daniels, Troy",203584,0.022,1,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Anthony Davis,nan,F,nan,33:40:00,13.0,23.0,0.565,1.0,4.0,0.25,5.0,6.0,0.833,5.0,6.0,11.0,1.0,0.0,4.0,5.0,4.0,32.0,-13.0,Forward-Center,0.07763774733637752,0.10299718638018637,-0.5401870603630449
89,21900443,203076,"Davis, Anthony",Los Angeles Lakers,1610612747,LAL,made,1,"Caldwell-Pope, Kentavious",203484,0.065,3,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Anthony Davis,nan,F,nan,33:40:00,13.0,23.0,0.565,1.0,4.0,0.25,5.0,6.0,0.833,5.0,6.0,11.0,1.0,0.0,4.0,5.0,4.0,32.0,-13.0,Forward-Center,0.07763774733637752,0.10299718638018637,-0.12269992783811272
90,21900443,203076,"Davis, Anthony",Los Angeles Lakers,1610612747,LAL,made,1,"Bradley, Avery",202340,0.087,4,0,0,1,0.0,0,1,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Anthony Davis,nan,F,nan,33:40:00,13.0,23.0,0.565,1.0,4.0,0.25,5.0,6.0,0.833,5.0,6.0,11.0,1.0,0.0,4.0,5.0,4.0,32.0,-13.0,Forward-Center,0.07763774733637752,0.10299718638018637,0.09089813996534084
91,21900443,203076,"Davis, Anthony",Los Angeles Lakers,1610612747,LAL,made,1,"Green, Danny",201980,0.065,3,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Anthony Davis,nan,F,nan,33:40:00,13.0,23.0,0.565,1.0,4.0,0.25,5.0,6.0,0.833,5.0,6.0,11.0,1.0,0.0,4.0,5.0,4.0,32.0,-13.0,Forward-Center,0.07763774733637752,0.10299718638018637,-0.12269992783811272
92,21900443,203076,"Davis, Anthony",Los Angeles Lakers,1610612747,LAL,made,1,"Rondo, Rajon",200765,0.609,28,0,0,1,0.0,0,0,0.0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Anthony Davis,nan,F,nan,33:40:00,13.0,23.0,0.565,1.0,4.0,0.25,5.0,6.0,0.833,5.0,6.0,11.0,1.0,0.0,4.0,5.0,4.0,32.0,-13.0,Forward-Center,0.07763774733637752,0.10299718638018637,5.158997748756377
93,21900443,203484,"Caldwell-Pope, Kentavious",Los Angeles Lakers,1610612747,LAL,made,1,"Kuzma, Kyle",1628398,0.273,6,1,2,5,0.4,2,3,0.667,0,2,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Kentavious Caldwell-Pope,nan,nan,nan,25:06:00,2.0,4.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,2.0,3.0,6.0,-12.0,Guard,0.07579927228623384,0.07772953644911912,2.5370114981047336
94,21900443,203484,"Caldwell-Pope, Kentavious",Los Angeles Lakers,1610612747,LAL,made,1,"Caruso, Alex",1627936,0.227,5,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Kentavious Caldwell-Pope,nan,nan,nan,25:06:00,2.0,4.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,2.0,3.0,6.0,-12.0,Guard,0.07579927228623384,0.07772953644911912,1.9452158680084302
95,21900443,203484,"Caldwell-Pope, Kentavious",Los Angeles Lakers,1610612747,LAL,made,1,"Cook, Quinn",1626188,0.091,2,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Kentavious Caldwell-Pope,nan,nan,nan,25:06:00,2.0,4.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,2.0,3.0,6.0,-12.0,Guard,0.07579927228623384,0.07772953644911912,0.19555922250631688
96,21900443,203484,"Caldwell-Pope, Kentavious",Los Angeles Lakers,1610612747,LAL,made,1,"Daniels, Troy",203584,0.045,1,1,1,1,1.0,0,0,0.0,1,1,1.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Kentavious Caldwell-Pope,nan,nan,nan,25:06:00,2.0,4.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,2.0,3.0,6.0,-12.0,Guard,0.07579927228623384,0.07772953644911912,-0.39623640758998613
97,21900443,203484,"Caldwell-Pope, Kentavious",Los Angeles Lakers,1610612747,LAL,made,1,"Davis, Anthony",203076,0.091,2,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Kentavious Caldwell-Pope,nan,nan,nan,25:06:00,2.0,4.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,2.0,3.0,6.0,-12.0,Guard,0.07579927228623384,0.07772953644911912,0.19555922250631688
98,21900443,203484,"Caldwell-Pope, Kentavious",Los Angeles Lakers,1610612747,LAL,made,1,"Rondo, Rajon",200765,0.182,4,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Kentavious Caldwell-Pope,nan,nan,nan,25:06:00,2.0,4.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,2.0,3.0,6.0,-12.0,Guard,0.07579927228623384,0.07772953644911912,1.366285360305525
99,21900443,203484,"Caldwell-Pope, Kentavious",Los Angeles Lakers,1610612747,LAL,made,1,"Howard, Dwight",2730,0.091,2,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Kentavious Caldwell-Pope,nan,nan,nan,25:06:00,2.0,4.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,2.0,3.0,6.0,-12.0,Guard,0.07579927228623384,0.07772953644911912,0.19555922250631688
100,21900443,203584,"Daniels, Troy",Los Angeles Lakers,1610612747,LAL,made,1,"Horton-Tucker, Talen",1629659,0.111,1,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Troy Daniels,nan,nan,nan,10:00,3.0,4.0,0.75,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,-4.0,Guard,0.07579927228623384,0.07772953644911912,0.45286167037427477
101,21900443,203584,"Daniels, Troy",Los Angeles Lakers,1610612747,LAL,made,1,"Kuzma, Kyle",1628398,0.333,3,0,0,1,0.0,0,1,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Troy Daniels,nan,nan,nan,10:00,3.0,4.0,0.75,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,-4.0,Guard,0.07579927228623384,0.07772953644911912,3.308918841708607
102,21900443,203584,"Daniels, Troy",Los Angeles Lakers,1610612747,LAL,made,1,"Caruso, Alex",1627936,0.111,1,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Troy Daniels,nan,nan,nan,10:00,3.0,4.0,0.75,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,-4.0,Guard,0.07579927228623384,0.07772953644911912,0.45286167037427477
103,21900443,203584,"Daniels, Troy",Los Angeles Lakers,1610612747,LAL,made,1,"Davis, Anthony",203076,0.111,1,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Troy Daniels,nan,nan,nan,10:00,3.0,4.0,0.75,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,-4.0,Guard,0.07579927228623384,0.07772953644911912,0.45286167037427477
104,21900443,203584,"Daniels, Troy",Los Angeles Lakers,1610612747,LAL,made,1,"McGee, JaVale",201580,0.111,1,0,0,1,0.0,0,1,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Troy Daniels,nan,nan,nan,10:00,3.0,4.0,0.75,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,-4.0,Guard,0.07579927228623384,0.07772953644911912,0.45286167037427477
105,21900443,203584,"Daniels, Troy",Los Angeles Lakers,1610612747,LAL,made,1,"Rondo, Rajon",200765,0.222,2,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Troy Daniels,nan,nan,nan,10:00,3.0,4.0,0.75,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,-4.0,Guard,0.07579927228623384,0.07772953644911912,1.8808902560414407
106,21900443,1626188,"Cook, Quinn",Los Angeles Lakers,1610612747,LAL,made,1,"Kuzma, Kyle",1628398,0.391,9,1,1,2,0.5,0,1,0.0,1,1,1.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Quinn Cook,nan,nan,nan,17:26,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,2.0,2.0,-7.0,Guard,0.07579927228623384,0.07772953644911912,4.055095940525685
107,21900443,1626188,"Cook, Quinn",Los Angeles Lakers,1610612747,LAL,made,1,"Caruso, Alex",1627936,0.043,1,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Quinn Cook,nan,nan,nan,17:26,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,2.0,2.0,-7.0,Guard,0.07579927228623384,0.07772953644911912,-0.42196665237678194
108,21900443,1626188,"Cook, Quinn",Los Angeles Lakers,1610612747,LAL,made,1,"Caldwell-Pope, Kentavious",203484,0.087,2,0,0,1,0.0,0,0,0.0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Quinn Cook,nan,nan,nan,17:26,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,2.0,2.0,-7.0,Guard,0.07579927228623384,0.07772953644911912,0.14409873293272527
109,21900443,1626188,"Cook, Quinn",Los Angeles Lakers,1610612747,LAL,made,1,"Davis, Anthony",203076,0.087,2,0,0,1,0.0,0,1,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Quinn Cook,nan,nan,nan,17:26,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,2.0,2.0,-7.0,Guard,0.07579927228623384,0.07772953644911912,0.14409873293272527
110,21900443,1626188,"Cook, Quinn",Los Angeles Lakers,1610612747,LAL,made,1,"McGee, JaVale",201580,0.174,4,0,1,2,0.5,0,1,0.0,1,1,1.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Quinn Cook,nan,nan,nan,17:26,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,2.0,2.0,-7.0,Guard,0.07579927228623384,0.07772953644911912,1.2633643811583417
111,21900443,1626188,"Cook, Quinn",Los Angeles Lakers,1610612747,LAL,made,1,"Howard, Dwight",2730,0.217,5,0,1,1,1.0,1,1,1.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Quinn Cook,nan,nan,nan,17:26,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,2.0,2.0,-7.0,Guard,0.07579927228623384,0.07772953644911912,1.8165646440744512
112,21900443,1627936,"Caruso, Alex",Los Angeles Lakers,1610612747,LAL,made,1,"Kuzma, Kyle",1628398,0.179,5,0,0,1,0.0,0,0,0.0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Alex Caruso,nan,nan,nan,22:27,0.0,1.0,0.0,0.0,1.0,0.0,8.0,8.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,8.0,-14.0,Guard,0.07579927228623384,0.07772953644911912,1.3276899931253312
113,21900443,1627936,"Caruso, Alex",Los Angeles Lakers,1610612747,LAL,made,1,"Cook, Quinn",1626188,0.143,4,0,0,1,0.0,0,0,0.0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Alex Caruso,nan,nan,nan,22:27,0.0,1.0,0.0,0.0,1.0,0.0,8.0,8.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,8.0,-14.0,Guard,0.07579927228623384,0.07772953644911912,0.8645455869630071
114,21900443,1627936,"Caruso, Alex",Los Angeles Lakers,1610612747,LAL,made,1,"Caldwell-Pope, Kentavious",203484,0.071,2,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Alex Caruso,nan,nan,nan,22:27,0.0,1.0,0.0,0.0,1.0,0.0,8.0,8.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,8.0,-14.0,Guard,0.07579927228623384,0.07772953644911912,-0.061743225361640994
115,21900443,1627936,"Caruso, Alex",Los Angeles Lakers,1610612747,LAL,made,1,"Davis, Anthony",203076,0.286,8,0,1,2,0.5,1,2,0.5,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Alex Caruso,nan,nan,nan,22:27,0.0,1.0,0.0,0.0,1.0,0.0,8.0,8.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,8.0,-14.0,Guard,0.07579927228623384,0.07772953644911912,2.7042580892189054
116,21900443,1627936,"Caruso, Alex",Los Angeles Lakers,1610612747,LAL,made,1,"Rondo, Rajon",200765,0.143,4,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Alex Caruso,nan,nan,nan,22:27,0.0,1.0,0.0,0.0,1.0,0.0,8.0,8.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,8.0,-14.0,Guard,0.07579927228623384,0.07772953644911912,0.8645455869630071
117,21900443,1627936,"Caruso, Alex",Los Angeles Lakers,1610612747,LAL,made,1,"Howard, Dwight",2730,0.179,5,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Alex Caruso,nan,nan,nan,22:27,0.0,1.0,0.0,0.0,1.0,0.0,8.0,8.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,8.0,-14.0,Guard,0.07579927228623384,0.07772953644911912,1.3276899931253312
118,21900443,1628398,"Kuzma, Kyle",Los Angeles Lakers,1610612747,LAL,made,1,"Caruso, Alex",1627936,0.2,5,0,0,1,0.0,0,0,0.0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Kyle Kuzma,nan,nan,nan,21:48,7.0,15.0,0.467,1.0,4.0,0.25,1.0,2.0,0.5,2.0,2.0,4.0,0.0,1.0,2.0,2.0,1.0,16.0,-16.0,Forward,0.08277631578947353,0.09808825939951168,1.1950837432345145
119,21900443,1628398,"Kuzma, Kyle",Los Angeles Lakers,1610612747,LAL,made,1,"Cook, Quinn",1626188,0.24,6,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Kyle Kuzma,nan,nan,nan,21:48,7.0,15.0,0.467,1.0,4.0,0.25,1.0,2.0,0.5,2.0,2.0,4.0,0.0,1.0,2.0,2.0,1.0,16.0,-16.0,Forward,0.08277631578947353,0.09808825939951168,1.6028797449667984
120,21900443,1628398,"Kuzma, Kyle",Los Angeles Lakers,1610612747,LAL,made,1,"Daniels, Troy",203584,0.08,2,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Kyle Kuzma,nan,nan,nan,21:48,7.0,15.0,0.467,1.0,4.0,0.25,1.0,2.0,0.5,2.0,2.0,4.0,0.0,1.0,2.0,2.0,1.0,16.0,-16.0,Forward,0.08277631578947353,0.09808825939951168,-0.02830426196233788
121,21900443,1628398,"Kuzma, Kyle",Los Angeles Lakers,1610612747,LAL,made,1,"Caldwell-Pope, Kentavious",203484,0.16,4,0,0,1,0.0,0,1,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Kyle Kuzma,nan,nan,nan,21:48,7.0,15.0,0.467,1.0,4.0,0.25,1.0,2.0,0.5,2.0,2.0,4.0,0.0,1.0,2.0,2.0,1.0,16.0,-16.0,Forward,0.08277631578947353,0.09808825939951168,0.7872877415022304
122,21900443,1628398,"Kuzma, Kyle",Los Angeles Lakers,1610612747,LAL,made,1,"Davis, Anthony",203076,0.12,3,0,1,1,1.0,1,1,1.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Kyle Kuzma,nan,nan,nan,21:48,7.0,15.0,0.467,1.0,4.0,0.25,1.0,2.0,0.5,2.0,2.0,4.0,0.0,1.0,2.0,2.0,1.0,16.0,-16.0,Forward,0.08277631578947353,0.09808825939951168,0.37949173976994616
123,21900443,1628398,"Kuzma, Kyle",Los Angeles Lakers,1610612747,LAL,made,1,"McGee, JaVale",201580,0.04,1,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Kyle Kuzma,nan,nan,nan,21:48,7.0,15.0,0.467,1.0,4.0,0.25,1.0,2.0,0.5,2.0,2.0,4.0,0.0,1.0,2.0,2.0,1.0,16.0,-16.0,Forward,0.08277631578947353,0.09808825939951168,-0.436100263694622
124,21900443,1628398,"Kuzma, Kyle",Los Angeles Lakers,1610612747,LAL,made,1,"Rondo, Rajon",200765,0.04,1,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Kyle Kuzma,nan,nan,nan,21:48,7.0,15.0,0.467,1.0,4.0,0.25,1.0,2.0,0.5,2.0,2.0,4.0,0.0,1.0,2.0,2.0,1.0,16.0,-16.0,Forward,0.08277631578947353,0.09808825939951168,-0.436100263694622
125,21900443,1628398,"Kuzma, Kyle",Los Angeles Lakers,1610612747,LAL,made,1,"Howard, Dwight",2730,0.12,3,0,0,1,0.0,0,1,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Kyle Kuzma,nan,nan,nan,21:48,7.0,15.0,0.467,1.0,4.0,0.25,1.0,2.0,0.5,2.0,2.0,4.0,0.0,1.0,2.0,2.0,1.0,16.0,-16.0,Forward,0.08277631578947353,0.09808825939951168,0.37949173976994616
126,21901296,2544,"James, LeBron",Los Angeles Lakers,1610612747,LAL,made,1,"Horton-Tucker, Talen",1629659,0.072,5,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,LeBron James,nan,F,nan,38:06:00,9.0,21.0,0.429,5.0,11.0,0.455,6.0,10.0,0.6,0.0,1.0,1.0,12.0,0.0,2.0,5.0,0.0,29.0,-10.0,Forward,0.08277631578947353,0.09808825939951168,-0.10986346230879478
