GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
41900315,1610612743,DEN,Denver,203924,Jerami Grant,,F,,45:37:00,7,18,0.389,2,8,0.25,4,4,1,0,9,9,1,1,1,1,4,20,-10
41900315,1610612743,DEN,Denver,200794,Paul Millsap,,F,,30:42:00,1,8,0.125,1,5,0.2,10,11,0.909,1,3,4,1,0,0,1,3,13,-8
41900315,1610612743,DEN,Denver,203999,Nikola Jokic,,C,,29:57:00,9,16,0.563,1,4,0.25,1,1,1,2,5,7,5,3,0,1,5,20,-1
41900315,1610612743,DEN,Denver,203914,Gary Harris,,G,,13:14,1,4,0.25,1,3,0.333,0,0,0,0,2,2,1,0,0,3,4,3,4
41900315,1610612743,DEN,Denver,1627750,Jamal Murray,,G,,43:05:00,7,17,0.412,0,4,0,5,5,1,2,2,4,8,1,0,5,3,19,-10
41900315,1610612743,DEN,Denver,1628420,Monte Morris,,,,28:01:00,4,9,0.444,0,1,0,2,2,1,0,2,2,7,0,0,0,1,10,-10
41900315,1610612743,DEN,Denver,203486,Mason Plumlee,,,,18:03,3,7,0.429,0,0,0,1,1,1,4,1,5,0,0,0,0,2,7,-9
41900315,1610612743,DEN,Denver,1629008,Michael Porter Jr.,,,,17:07,4,7,0.571,2,4,0.5,0,2,0,0,2,2,0,0,0,0,2,10,1
41900315,1610612743,DEN,Denver,1628470,Torrey Craig,,,,07:29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-3
41900315,1610612743,DEN,Denver,1628408,PJ Dozier,,,,06:45,2,3,0.667,1,1,1,0,0,0,0,1,1,0,0,0,0,1,5,-4
41900315,1610612743,DEN,Denver,1628966,Keita Bates-Diop,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
41900315,1610612743,DEN,Denver,1629626,Bol Bol,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
41900315,1610612743,DEN,Denver,203584,Troy Daniels,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
41900315,1610612747,LAL,Los Angeles,2544,LeBron James,,F,,40:01:00,15,25,0.6,1,4,0.25,7,8,0.875,3,13,16,10,1,0,2,2,38,12
41900315,1610612747,LAL,Los Angeles,203076,Anthony Davis,,F,,34:43:00,8,16,0.5,2,4,0.5,9,9,1,0,5,5,3,2,1,1,3,27,-1
41900315,1610612747,LAL,Los Angeles,2730,Dwight Howard,,C,,35:08:00,3,4,0.75,0,0,0,3,6,0.5,2,7,9,0,0,2,2,5,9,12
41900315,1610612747,LAL,Los Angeles,201980,Danny Green,,G,,28:06:00,3,7,0.429,2,4,0.5,3,4,0.75,0,0,0,2,0,2,0,1,11,6
41900315,1610612747,LAL,Los Angeles,203484,Kentavious Caldwell-Pope,,G,,26:22:00,1,2,0.5,0,1,0,0,0,0,0,1,1,0,2,0,1,5,2,5
41900315,1610612747,LAL,Los Angeles,200765,Rajon Rondo,,,,12:49,3,5,0.6,2,4,0.5,0,0,0,0,3,3,4,0,0,1,2,8,-4
41900315,1610612747,LAL,Los Angeles,1628398,Kyle Kuzma,,,,20:44,3,7,0.429,1,3,0.333,1,1,1,0,3,3,1,0,1,0,3,8,0
41900315,1610612747,LAL,Los Angeles,1627936,Alex Caruso,,,,25:39:00,5,7,0.714,0,1,0,1,1,1,0,2,2,4,1,1,3,2,11,16
41900315,1610612747,LAL,Los Angeles,202693,Markieff Morris,,,,14:13,1,3,0.333,1,3,0.333,0,0,0,0,3,3,0,0,1,2,1,3,6
41900315,1610612747,LAL,Los Angeles,201580,JaVale McGee,,,,02:15,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,-2
41900315,1610612747,LAL,Los Angeles,1626188,Quinn Cook,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
41900315,1610612747,LAL,Los Angeles,201162,Jared Dudley,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
41900315,1610612747,LAL,Los Angeles,2747,JR Smith,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
41900314,1610612747,LAL,Los Angeles,2544,LeBron James,,F,,38:22:00,7,18,0.389,1,3,0.333,11,14,0.786,1,8,9,8,0,0,0,2,26,8
41900314,1610612747,LAL,Los Angeles,203076,Anthony Davis,,F,,40:31:00,10,15,0.667,1,3,0.333,13,14,0.929,1,4,5,3,3,0,3,2,34,1
41900314,1610612747,LAL,Los Angeles,2730,Dwight Howard,,C,,22:37,5,6,0.833,0,0,0,2,3,0.667,6,5,11,1,1,0,0,2,12,7
41900314,1610612747,LAL,Los Angeles,201980,Danny Green,,G,,21:14,1,6,0.167,1,4,0.25,0,0,0,1,2,3,0,0,0,0,3,3,12
41900314,1610612747,LAL,Los Angeles,203484,Kentavious Caldwell-Pope,,G,,34:24:00,5,12,0.417,3,9,0.333,0,0,0,1,1,2,1,1,1,1,1,13,4
41900314,1610612747,LAL,Los Angeles,1628398,Kyle Kuzma,,,,18:30,4,11,0.364,2,7,0.286,0,0,0,0,0,0,1,1,0,1,1,10,0
41900314,1610612747,LAL,Los Angeles,200765,Rajon Rondo,,,,21:34,4,6,0.667,1,1,1,2,4,0.5,2,3,5,7,0,0,1,3,11,-9
41900314,1610612747,LAL,Los Angeles,1627936,Alex Caruso,,,,20:08,1,4,0.25,1,2,0.5,0,0,0,0,1,1,2,1,1,1,5,3,-1
41900314,1610612747,LAL,Los Angeles,201580,JaVale McGee,,,,05:12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3
41900314,1610612747,LAL,Los Angeles,202693,Markieff Morris,,,,17:28,1,2,0.5,0,1,0,0,0,0,0,4,4,0,2,0,2,6,2,5
41900314,1610612747,LAL,Los Angeles,1626188,Quinn Cook,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
41900314,1610612747,LAL,Los Angeles,201162,Jared Dudley,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
41900314,1610612747,LAL,Los Angeles,2747,JR Smith,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
41900314,1610612743,DEN,Denver,203924,Jerami Grant,,F,,42:46:00,6,13,0.462,2,6,0.333,3,4,0.75,0,2,2,1,0,0,0,4,17,-3
41900314,1610612743,DEN,Denver,200794,Paul Millsap,,F,,16:48,1,3,0.333,1,2,0.5,2,2,1,1,5,6,3,0,0,3,5,5,8
41900314,1610612743,DEN,Denver,203999,Nikola Jokic,,C,,35:43:00,6,13,0.462,2,3,0.667,2,2,1,3,4,7,4,2,0,1,5,16,2
41900314,1610612743,DEN,Denver,203914,Gary Harris,,G,,18:31,1,5,0.2,1,2,0.5,0,0,0,0,2,2,0,1,0,0,2,3,-2
41900314,1610612743,DEN,Denver,1627750,Jamal Murray,,G,,45:11:00,12,20,0.6,0,3,0,8,8,1,1,2,3,8,0,1,4,1,32,-8
41900314,1610612743,DEN,Denver,1628470,Torrey Craig,,,,19:30,3,6,0.5,1,4,0.25,0,0,0,0,2,2,1,0,2,0,5,7,-17
41900314,1610612743,DEN,Denver,1628420,Monte Morris,,,,27:23:00,4,7,0.571,0,2,0,4,5,0.8,1,1,2,4,0,0,0,1,12,-4
41900314,1610612743,DEN,Denver,1629008,Michael Porter Jr.,,,,20:31,5,8,0.625,3,6,0.5,0,0,0,0,8,8,1,1,0,2,2,13,-1
41900314,1610612743,DEN,Denver,203486,Mason Plumlee,,,,13:32,1,2,0.5,0,0,0,1,2,0.5,0,1,1,0,0,0,1,3,3,-7
41900314,1610612743,DEN,Denver,1628408,PJ Dozier,,,,00:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
41900314,1610612743,DEN,Denver,1628966,Keita Bates-Diop,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
41900314,1610612743,DEN,Denver,1629626,Bol Bol,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
41900314,1610612743,DEN,Denver,203584,Troy Daniels,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
41900313,1610612747,LAL,Los Angeles,2544,LeBron James,,F,,37:15:00,14,23,0.609,1,4,0.25,1,2,0.5,1,9,10,11,2,2,6,1,30,2
41900313,1610612747,LAL,Los Angeles,203076,Anthony Davis,,F,,42:48:00,9,17,0.529,0,4,0,9,10,0.9,0,2,2,1,1,0,3,4,27,4
41900313,1610612747,LAL,Los Angeles,201580,JaVale McGee,,C,,08:05,2,2,1,0,0,0,0,1,0,0,1,1,0,1,0,0,2,4,2
41900313,1610612747,LAL,Los Angeles,201980,Danny Green,,G,,20:09,1,4,0.25,1,3,0.333,1,2,0.5,1,3,4,1,0,0,0,4,4,-3
41900313,1610612747,LAL,Los Angeles,203484,Kentavious Caldwell-Pope,,G,,26:46:00,5,8,0.625,2,5,0.4,0,0,0,1,2,3,1,1,0,0,1,12,-9
41900313,1610612747,LAL,Los Angeles,1628398,Kyle Kuzma,,,,26:01:00,4,7,0.571,1,2,0.5,2,3,0.667,0,1,1,1,0,0,1,1,11,-3
41900313,1610612747,LAL,Los Angeles,200765,Rajon Rondo,,,,29:36:00,4,10,0.4,0,3,0,1,3,0.333,0,2,2,8,3,0,4,4,9,-13
41900313,1610612747,LAL,Los Angeles,1627936,Alex Caruso,,,,24:41:00,1,7,0.143,0,4,0,0,0,0,0,1,1,3,2,0,1,3,2,-6
41900313,1610612747,LAL,Los Angeles,202693,Markieff Morris,,,,10:35,1,2,0.5,1,1,1,0,0,0,0,0,0,1,0,0,0,2,3,-13
41900313,1610612747,LAL,Los Angeles,2730,Dwight Howard,,,,14:04,2,3,0.667,0,0,0,0,1,0,1,0,1,0,1,1,1,4,4,-1
41900313,1610612747,LAL,Los Angeles,1626188,Quinn Cook,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
41900313,1610612747,LAL,Los Angeles,201162,Jared Dudley,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
41900313,1610612747,LAL,Los Angeles,2747,JR Smith,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
41900313,1610612743,DEN,Denver,203924,Jerami Grant,,F,,33:40:00,7,11,0.636,2,5,0.4,10,12,0.833,0,3,3,1,2,0,2,3,26,-8
41900313,1610612743,DEN,Denver,200794,Paul Millsap,,F,,31:02:00,2,8,0.25,0,3,0,2,2,1,1,7,8,1,0,1,1,4,6,11
41900313,1610612743,DEN,Denver,203999,Nikola Jokic,,C,,37:24:00,9,14,0.643,1,3,0.333,3,4,0.75,3,7,10,5,1,1,5,4,22,7
41900313,1610612743,DEN,Denver,203914,Gary Harris,,G,,32:19:00,2,5,0.4,1,2,0.5,2,2,1,0,0,0,3,0,0,1,0,7,6
41900313,1610612743,DEN,Denver,1627750,Jamal Murray,,G,,43:43:00,10,17,0.588,4,8,0.5,4,7,0.571,2,6,8,12,2,0,4,1,28,8
41900313,1610612743,DEN,Denver,1629008,Michael Porter Jr.,,,,21:53,4,6,0.667,1,2,0.5,0,0,0,1,5,6,2,2,0,3,4,9,1
41900313,1610612743,DEN,Denver,1628420,Monte Morris,,,,19:55,5,7,0.714,2,4,0.5,2,2,1,0,1,1,1,0,0,0,2,14,10
41900313,1610612743,DEN,Denver,1628470,Torrey Craig,,,,15:29,1,4,0.25,0,2,0,0,0,0,1,5,6,0,1,0,1,2,2,-5
41900313,1610612743,DEN,Denver,203486,Mason Plumlee,,,,04:35,0,1,0,0,0,0,0,0,0,1,1,2,1,0,0,1,1,0,10
41900313,1610612743,DEN,Denver,1628966,Keita Bates-Diop,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
41900313,1610612743,DEN,Denver,1629626,Bol Bol,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
41900313,1610612743,DEN,Denver,203584,Troy Daniels,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
41900313,1610612743,DEN,Denver,1628408,PJ Dozier,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
41900312,1610612743,DEN,Denver,203924,Jerami Grant,,F,,24:36:00,3,4,0.75,1,1,1,0,0,0,0,0,0,1,3,0,3,4,7,-1
41900312,1610612743,DEN,Denver,200794,Paul Millsap,,F,,28:06:00,2,6,0.333,0,1,0,2,3,0.667,3,5,8,1,0,0,3,2,6,9
41900312,1610612743,DEN,Denver,203999,Nikola Jokic,,C,,38:40:00,9,20,0.45,1,4,0.25,11,12,0.917,1,5,6,9,4,0,2,4,30,-6
41900312,1610612743,DEN,Denver,203914,Gary Harris,,G,,24:42:00,1,6,0.167,1,3,0.333,0,0,0,0,2,2,1,0,0,2,0,3,-14
41900312,1610612743,DEN,Denver,1627750,Jamal Murray,,G,,44:14:00,8,19,0.421,2,9,0.222,7,8,0.875,0,6,6,4,2,2,5,1,25,16
41900312,1610612743,DEN,Denver,1628470,Torrey Craig,,,,23:18,1,2,0.5,0,1,0,1,1,1,0,2,2,1,1,1,0,3,3,-3
41900312,1610612743,DEN,Denver,1629008,Michael Porter Jr.,,,,19:58,6,9,0.667,2,4,0.5,1,2,0.5,2,2,4,0,0,0,2,5,15,-6
41900312,1610612743,DEN,Denver,1628420,Monte Morris,,,,12:58,3,4,0.75,1,1,1,2,2,1,0,1,1,0,1,0,1,0,9,-7
41900312,1610612743,DEN,Denver,203486,Mason Plumlee,,,,09:22,1,2,0.5,0,0,0,0,0,0,1,0,1,4,0,0,1,2,2,1
41900312,1610612743,DEN,Denver,1628408,PJ Dozier,,,,14:06,1,2,0.5,0,0,0,1,5,0.2,0,1,1,1,1,1,0,1,3,1
41900312,1610612743,DEN,Denver,1628966,Keita Bates-Diop,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
41900312,1610612743,DEN,Denver,1629626,Bol Bol,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
41900312,1610612743,DEN,Denver,203584,Troy Daniels,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
41900312,1610612747,LAL,Los Angeles,2544,LeBron James,,F,,36:25:00,10,20,0.5,3,8,0.375,3,4,0.75,2,9,11,4,0,2,6,2,26,-9
41900312,1610612747,LAL,Los Angeles,203076,Anthony Davis,,F,,39:18:00,11,23,0.478,2,4,0.5,7,7,1,2,7,9,2,1,2,1,4,31,8
41900312,1610612747,LAL,Los Angeles,201580,JaVale McGee,,C,,11:45,1,3,0.333,0,0,0,1,1,1,3,2,5,2,0,0,2,2,3,-2
41900312,1610612747,LAL,Los Angeles,201980,Danny Green,,G,,28:17:00,4,14,0.286,3,10,0.3,0,0,0,3,2,5,1,3,1,1,1,11,10
41900312,1610612747,LAL,Los Angeles,203484,Kentavious Caldwell-Pope,,G,,31:23:00,3,6,0.5,3,5,0.6,2,2,1,0,2,2,1,1,1,2,4,11,-2
41900312,1610612747,LAL,Los Angeles,1628398,Kyle Kuzma,,,,20:57,3,7,0.429,0,3,0,2,2,1,1,2,3,1,0,0,4,4,8,-2
41900312,1610612747,LAL,Los Angeles,200765,Rajon Rondo,,,,21:06,1,3,0.333,1,2,0.5,0,0,0,1,3,4,9,1,0,5,3,3,6
41900312,1610612747,LAL,Los Angeles,1627936,Alex Caruso,,,,28:50:00,3,6,0.5,1,4,0.25,2,2,1,0,2,2,2,2,1,1,3,9,-1
41900312,1610612747,LAL,Los Angeles,202693,Markieff Morris,,,,09:14,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,2,0,-8
41900312,1610612747,LAL,Los Angeles,2730,Dwight Howard,,,,12:45,1,1,1,0,0,0,1,1,1,0,2,2,0,1,0,0,5,3,10
41900312,1610612747,LAL,Los Angeles,1626188,Quinn Cook,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
41900312,1610612747,LAL,Los Angeles,201162,Jared Dudley,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
41900312,1610612747,LAL,Los Angeles,2747,JR Smith,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
41900311,1610612743,DEN,Denver,203924,Jerami Grant,,F,,37:23:00,3,11,0.273,1,6,0.167,2,2,1,0,4,4,3,0,0,1,2,9,-25
41900311,1610612743,DEN,Denver,200794,Paul Millsap,,F,,20:47,2,5,0.4,1,1,1,0,0,0,0,6,6,1,1,0,1,3,5,-13
41900311,1610612743,DEN,Denver,203999,Nikola Jokic,,C,,25:25:00,8,14,0.571,0,0,0,5,7,0.714,4,2,6,2,0,1,4,5,21,-19
41900311,1610612743,DEN,Denver,203914,Gary Harris,,G,,25:23:00,2,7,0.286,1,4,0.25,0,0,0,0,2,2,0,0,0,2,3,5,-14
41900311,1610612743,DEN,Denver,1627750,Jamal Murray,,G,,28:58:00,7,12,0.583,3,5,0.6,4,4,1,0,1,1,5,0,0,3,4,21,-21
41900311,1610612743,DEN,Denver,1628420,Monte Morris,,,,20:57,3,6,0.5,0,0,0,2,4,0.5,0,1,1,3,1,1,1,2,8,-12
41900311,1610612743,DEN,Denver,1628470,Torrey Craig,,,,10:20,2,4,0.5,0,2,0,2,2,1,0,0,0,0,0,0,0,1,6,-1
41900311,1610612743,DEN,Denver,1629008,Michael Porter Jr.,,,,28:59:00,3,9,0.333,1,6,0.167,7,8,0.875,1,9,10,4,1,0,2,2,14,5
41900311,1610612743,DEN,Denver,203486,Mason Plumlee,,,,20:33,4,6,0.667,0,0,0,1,1,1,3,1,4,3,0,0,0,2,9,6
41900311,1610612743,DEN,Denver,1628408,PJ Dozier,,,,12:00,3,5,0.6,0,0,0,0,0,0,1,2,3,2,0,0,2,2,6,12
