GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
41900311,1610612743,DEN,Denver,203584,Troy Daniels,,,,05:07,3,3,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,8,13
41900311,1610612743,DEN,Denver,1629626,Bol Bol,,,,04:08,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
41900311,1610612743,DEN,Denver,1628966,Keita Bates-Diop,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
41900311,1610612747,LAL,Los Angeles,2544,LeBron James,,F,,30:54:00,6,11,0.545,0,2,0,3,4,0.75,1,5,6,12,0,0,3,2,15,15
41900311,1610612747,LAL,Los Angeles,203076,Anthony Davis,,F,,32:47:00,12,21,0.571,1,3,0.333,12,15,0.8,3,7,10,4,0,0,3,3,37,15
41900311,1610612747,LAL,Los Angeles,201580,JaVale McGee,,C,,10:42,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,4,0,-11
41900311,1610612747,LAL,Los Angeles,201980,Danny Green,,G,,23:26,3,10,0.3,1,4,0.25,1,1,1,2,3,5,1,2,1,0,3,8,20
41900311,1610612747,LAL,Los Angeles,203484,Kentavious Caldwell-Pope,,G,,29:58:00,6,10,0.6,3,5,0.6,3,4,0.75,0,1,1,1,1,1,0,2,18,9
41900311,1610612747,LAL,Los Angeles,1628398,Kyle Kuzma,,,,24:25:00,5,8,0.625,1,2,0.5,0,0,0,2,2,4,0,0,0,1,2,11,-9
41900311,1610612747,LAL,Los Angeles,1627936,Alex Caruso,,,,22:19,1,3,0.333,0,2,0,3,5,0.6,1,1,2,4,0,1,0,4,5,6
41900311,1610612747,LAL,Los Angeles,200765,Rajon Rondo,,,,21:50,3,7,0.429,1,1,1,0,0,0,0,1,1,9,2,0,0,1,7,13
41900311,1610612747,LAL,Los Angeles,202693,Markieff Morris,,,,16:09,3,4,0.75,3,4,0.75,0,0,0,0,1,1,1,2,0,0,3,9,13
41900311,1610612747,LAL,Los Angeles,2730,Dwight Howard,,,,16:26,4,5,0.8,0,0,0,5,8,0.625,1,2,3,0,2,2,2,4,13,14
41900311,1610612747,LAL,Los Angeles,2747,JR Smith,,,,04:08,1,2,0.5,1,2,0.5,0,0,0,0,1,1,0,0,0,0,0,3,-9
41900311,1610612747,LAL,Los Angeles,201162,Jared Dudley,,,,04:08,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-9
41900311,1610612747,LAL,Los Angeles,1626188,Quinn Cook,,,,02:48,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-7
21901296,1610612743,DEN,Denver,1629008,Michael Porter Jr.,,F,,24:03:00,6,6,1,3,3,1,0,0,0,0,4,4,1,1,0,4,2,15,2
21901296,1610612743,DEN,Denver,200794,Paul Millsap,,F,,24:22:00,5,7,0.714,1,1,1,2,2,1,3,1,4,4,0,0,2,2,13,2
21901296,1610612743,DEN,Denver,203999,Nikola Jokic,,C,,25:31:00,4,7,0.571,2,2,1,2,2,1,0,1,1,4,1,0,1,3,12,-5
21901296,1610612743,DEN,Denver,1628470,Torrey Craig,,G,,22:50,3,8,0.375,0,3,0,0,0,0,2,2,4,0,0,0,0,2,6,-9
21901296,1610612743,DEN,Denver,1627750,Jamal Murray,,G,,24:33:00,6,10,0.6,0,2,0,2,2,1,1,3,4,3,2,0,1,0,14,-7
21901296,1610612743,DEN,Denver,1628966,Keita Bates-Diop,,,,22:26,4,8,0.5,1,4,0.25,1,2,0.5,1,3,4,0,0,0,0,2,10,-1
21901296,1610612743,DEN,Denver,1628408,PJ Dozier,,,,26:41:00,5,7,0.714,2,2,1,6,7,0.857,0,4,4,4,0,1,3,2,18,2
21901296,1610612743,DEN,Denver,203486,Mason Plumlee,,,,24:38:00,5,8,0.625,0,0,0,1,2,0.5,2,0,2,5,2,0,1,4,11,0
21901296,1610612743,DEN,Denver,1628420,Monte Morris,,,,23:27,5,11,0.455,3,4,0.75,1,2,0.5,1,2,3,4,0,0,1,0,14,4
21901296,1610612743,DEN,Denver,1629626,Bol Bol,,,,21:29,2,5,0.4,1,2,0.5,3,4,0.75,0,5,5,2,0,1,1,3,8,-3
21901296,1610612743,DEN,Denver,1629076,Tyler Cook,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
21901296,1610612743,DEN,Denver,203584,Troy Daniels,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
21901296,1610612743,DEN,Denver,203943,Noah Vonleh,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
21901296,1610612747,LAL,Los Angeles,2544,LeBron James,,F,,38:06:00,9,21,0.429,5,11,0.455,6,10,0.6,0,1,1,12,0,2,5,0,29,-10
21901296,1610612747,LAL,Los Angeles,203076,Anthony Davis,,F,,38:02:00,9,15,0.6,0,1,0,9,12,0.75,4,2,6,5,3,2,2,1,27,13
21901296,1610612747,LAL,Los Angeles,201580,JaVale McGee,,C,,15:43,1,2,0.5,0,0,0,2,2,1,2,3,5,0,1,0,1,3,4,-5
21901296,1610612747,LAL,Los Angeles,1628398,Kyle Kuzma,,G,,32:55:00,11,16,0.688,3,5,0.6,0,0,0,1,5,6,3,2,0,1,2,25,16
21901296,1610612747,LAL,Los Angeles,201980,Danny Green,,G,,30:03:00,4,10,0.4,3,5,0.6,0,0,0,2,0,2,1,0,0,0,0,11,-3
21901296,1610612747,LAL,Los Angeles,203079,Dion Waiters,,,,27:17:00,5,8,0.625,1,2,0.5,1,1,1,0,0,0,3,0,0,1,2,12,5
21901296,1610612747,LAL,Los Angeles,1627936,Alex Caruso,,,,19:50,0,1,0,0,0,0,0,2,0,0,0,0,4,2,0,0,2,0,21
21901296,1610612747,LAL,Los Angeles,202693,Markieff Morris,,,,18:15,3,5,0.6,2,4,0.5,0,0,0,2,5,7,0,0,0,0,3,8,-4
21901296,1610612747,LAL,Los Angeles,1629659,Talen Horton-Tucker,,,,05:58,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,-8
21901296,1610612747,LAL,Los Angeles,2730,Dwight Howard,,,,13:51,2,2,1,0,0,0,4,5,0.8,3,2,5,0,0,0,0,3,8,-10
21901296,1610612747,LAL,Los Angeles,1626188,Quinn Cook,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
21901296,1610612747,LAL,Los Angeles,201162,Jared Dudley,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
21901296,1610612747,LAL,Los Angeles,2747,JR Smith,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
21900817,1610612747,LAL,Los Angeles,2544,LeBron James,,F,,41:30:00,15,29,0.517,1,7,0.143,1,4,0.25,1,11,12,14,0,0,3,3,32,4
21900817,1610612747,LAL,Los Angeles,203076,Anthony Davis,,F,,41:56:00,12,23,0.522,3,6,0.5,6,9,0.667,1,9,10,2,2,2,2,2,33,5
21900817,1610612747,LAL,Los Angeles,201580,JaVale McGee,,C,,12:32,2,3,0.667,0,0,0,0,0,0,0,3,3,0,1,1,0,3,4,0
21900817,1610612747,LAL,Los Angeles,201980,Danny Green,,G,,20:40,1,2,0.5,1,2,0.5,0,0,0,0,2,2,0,0,0,0,1,3,-7
21900817,1610612747,LAL,Los Angeles,202340,Avery Bradley,,G,,31:14:00,4,8,0.5,2,5,0.4,0,0,0,1,0,1,2,0,0,1,2,10,-6
21900817,1610612747,LAL,Los Angeles,1628398,Kyle Kuzma,,,,16:25,1,4,0.25,1,3,0.333,0,0,0,1,0,1,3,0,0,1,2,3,-11
21900817,1610612747,LAL,Los Angeles,200765,Rajon Rondo,,,,14:29,1,2,0.5,0,1,0,0,0,0,0,1,1,1,0,0,0,3,2,-5
21900817,1610612747,LAL,Los Angeles,203484,Kentavious Caldwell-Pope,,,,33:49:00,3,9,0.333,3,7,0.429,0,0,0,1,1,2,1,4,0,0,2,9,10
21900817,1610612747,LAL,Los Angeles,2730,Dwight Howard,,,,29:57:00,4,6,0.667,0,0,0,6,12,0.5,5,6,11,2,0,0,4,4,14,7
21900817,1610612747,LAL,Los Angeles,1627936,Alex Caruso,,,,22:28,4,7,0.571,1,2,0.5,1,2,0.5,0,6,6,4,1,1,1,0,10,23
21900817,1610612747,LAL,Los Angeles,1626188,Quinn Cook,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
21900817,1610612747,LAL,Los Angeles,203584,Troy Daniels,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
21900817,1610612747,LAL,Los Angeles,201162,Jared Dudley,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
21900817,1610612743,DEN,Denver,1628470,Torrey Craig,,F,,30:00:00,2,4,0.5,1,3,0.333,0,0,0,0,8,8,4,0,0,1,4,5,-7
21900817,1610612743,DEN,Denver,203924,Jerami Grant,,F,,38:07:00,6,12,0.5,1,3,0.333,2,2,1,0,7,7,1,1,0,2,5,15,-6
21900817,1610612743,DEN,Denver,203999,Nikola Jokic,,C,,37:18:00,9,18,0.5,2,3,0.667,2,2,1,1,10,11,6,3,1,3,5,22,-10
21900817,1610612743,DEN,Denver,203914,Gary Harris,,G,,34:05:00,5,12,0.417,1,4,0.25,2,2,1,0,1,1,1,1,0,1,2,13,-9
21900817,1610612743,DEN,Denver,1627750,Jamal Murray,,G,,44:04:00,13,25,0.52,3,8,0.375,3,4,0.75,0,3,3,10,0,0,2,2,32,-4
21900817,1610612743,DEN,Denver,1628420,Monte Morris,,,,25:03:00,5,8,0.625,1,2,0.5,1,2,0.5,0,2,2,4,2,0,0,2,12,1
21900817,1610612743,DEN,Denver,200794,Paul Millsap,,,,20:20,2,5,0.4,1,1,1,5,6,0.833,1,3,4,4,2,0,0,3,10,8
21900817,1610612743,DEN,Denver,203895,Jordan McRae,,,,07:56,0,0,0,0,0,0,1,2,0.5,0,0,0,1,0,1,0,0,1,6
21900817,1610612743,DEN,Denver,1628408,PJ Dozier,,,,16:14,1,3,0.333,0,0,0,0,0,0,0,2,2,1,0,0,0,1,2,1
21900817,1610612743,DEN,Denver,203943,Noah Vonleh,,,,11:53,1,1,1,1,1,1,1,2,0.5,1,3,4,0,0,0,1,2,4,0
21900817,1610612743,DEN,Denver,1628966,Keita Bates-Diop,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
21900817,1610612743,DEN,Denver,1628427,Vlatko Cancar,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
21900443,1610612743,DEN,Denver,203115,Will Barton,,F,,31:49:00,4,12,0.333,0,3,0,6,6,1,5,8,13,5,2,0,1,1,14,5
21900443,1610612743,DEN,Denver,200794,Paul Millsap,,F,,20:51,8,14,0.571,3,4,0.75,2,2,1,0,1,1,0,0,0,0,3,21,19
21900443,1610612743,DEN,Denver,203999,Nikola Jokic,,C,,27:22:00,5,8,0.625,1,1,1,7,7,1,3,3,6,5,1,1,1,3,18,12
21900443,1610612743,DEN,Denver,203914,Gary Harris,,G,,34:16:00,7,10,0.7,1,3,0.333,4,5,0.8,0,1,1,5,4,0,0,3,19,18
21900443,1610612743,DEN,Denver,1627750,Jamal Murray,,G,,31:46:00,3,11,0.273,0,6,0,0,0,0,1,2,3,5,1,0,2,0,6,16
21900443,1610612743,DEN,Denver,203924,Jerami Grant,,,,22:38,2,6,0.333,2,3,0.667,2,2,1,0,3,3,1,1,0,1,1,8,1
21900443,1610612743,DEN,Denver,1629008,Michael Porter Jr.,,,,05:06,1,2,0.5,0,0,0,0,0,0,0,1,1,0,0,1,0,2,2,-2
21900443,1610612743,DEN,Denver,1628420,Monte Morris,,,,19:51,4,10,0.4,1,4,0.25,0,0,0,3,2,5,2,2,0,0,1,9,17
21900443,1610612743,DEN,Denver,203486,Mason Plumlee,,,,18:34,4,5,0.8,0,0,0,2,2,1,2,3,5,5,1,0,2,4,10,9
21900443,1610612743,DEN,Denver,1627736,Malik Beasley,,,,21:35,6,11,0.545,3,7,0.429,1,2,0.5,0,2,2,2,1,0,0,1,16,16
21900443,1610612743,DEN,Denver,1627823,Juancho Hernangomez,,,,02:04,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,3
21900443,1610612743,DEN,Denver,1628427,Vlatko Cancar,,,,02:04,0,1,0,0,0,0,2,2,1,1,0,1,1,0,0,0,0,2,3
21900443,1610612743,DEN,Denver,1628470,Torrey Craig,,,,02:04,0,1,0,0,1,0,1,2,0.5,1,1,2,0,0,0,1,0,1,3
21900443,1610612747,LAL,Los Angeles,201980,Danny Green,,F,,18:08,1,4,0.25,1,3,0.333,2,3,0.667,1,3,4,2,0,0,2,2,5,-4
21900443,1610612747,LAL,Los Angeles,203076,Anthony Davis,,F,,33:40:00,13,23,0.565,1,4,0.25,5,6,0.833,5,6,11,1,0,4,5,4,32,-13
21900443,1610612747,LAL,Los Angeles,201580,JaVale McGee,,C,,18:29,3,6,0.5,1,1,1,0,1,0,2,3,5,1,0,2,1,4,7,-7
21900443,1610612747,LAL,Los Angeles,202340,Avery Bradley,,G,,21:02,2,8,0.25,2,5,0.4,0,0,0,1,1,2,1,0,0,0,2,6,-6
21900443,1610612747,LAL,Los Angeles,200765,Rajon Rondo,,G,,27:54:00,2,8,0.25,1,4,0.25,0,0,0,2,2,4,8,3,0,2,3,5,-7
21900443,1610612747,LAL,Los Angeles,1628398,Kyle Kuzma,,,,21:48,7,15,0.467,1,4,0.25,1,2,0.5,2,2,4,0,1,2,2,1,16,-16
21900443,1610612747,LAL,Los Angeles,203484,Kentavious Caldwell-Pope,,,,25:06:00,2,4,0.5,2,3,0.667,0,0,0,0,3,3,2,1,0,2,3,6,-12
21900443,1610612747,LAL,Los Angeles,1626188,Quinn Cook,,,,17:26,1,5,0.2,0,2,0,0,0,0,0,2,2,1,0,0,3,2,2,-7
21900443,1610612747,LAL,Los Angeles,1627936,Alex Caruso,,,,22:27,0,1,0,0,1,0,8,8,1,0,2,2,0,1,1,0,0,8,-14
21900443,1610612747,LAL,Los Angeles,2730,Dwight Howard,,,,16:38,4,4,1,0,0,0,0,2,0,5,2,7,1,0,0,2,2,8,-19
21900443,1610612747,LAL,Los Angeles,203584,Troy Daniels,,,,10:00,3,4,0.75,1,2,0.5,0,0,0,0,0,0,0,0,0,0,2,7,-4
21900443,1610612747,LAL,Los Angeles,201162,Jared Dudley,,,,04:31,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,-4
21900443,1610612747,LAL,Los Angeles,1629659,Talen Horton-Tucker,,,,02:51,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-7
21900304,1610612747,LAL,Los Angeles,2544,LeBron James,,F,,36:53:00,9,18,0.5,1,4,0.25,6,6,1,2,4,6,9,0,0,4,3,25,4
21900304,1610612747,LAL,Los Angeles,203076,Anthony Davis,,F,,36:32:00,9,18,0.5,1,3,0.333,6,9,0.667,3,7,10,1,0,1,1,3,25,11
21900304,1610612747,LAL,Los Angeles,201580,JaVale McGee,,C,,14:28,2,5,0.4,0,0,0,0,0,0,2,4,6,0,0,1,1,3,4,-6
21900304,1610612747,LAL,Los Angeles,201980,Danny Green,,G,,30:60,2,12,0.167,1,7,0.143,0,0,0,1,6,7,3,3,0,0,2,5,2
21900304,1610612747,LAL,Los Angeles,203484,Kentavious Caldwell-Pope,,G,,32:26:00,2,5,0.4,0,3,0,0,0,0,1,2,3,3,3,0,3,0,4,3
21900304,1610612747,LAL,Los Angeles,1628398,Kyle Kuzma,,,,19:11,2,6,0.333,0,0,0,2,2,1,1,4,5,2,0,0,3,1,6,8
21900304,1610612747,LAL,Los Angeles,200765,Rajon Rondo,,,,25:05:00,4,6,0.667,2,2,1,1,2,0.5,0,6,6,6,1,0,2,1,11,8
21900304,1610612747,LAL,Los Angeles,203584,Troy Daniels,,,,09:31,2,3,0.667,2,3,0.667,0,1,0,1,2,3,0,0,0,0,0,6,6
21900304,1610612747,LAL,Los Angeles,2730,Dwight Howard,,,,19:05,5,8,0.625,0,1,0,3,8,0.375,2,4,6,0,0,2,1,4,13,-2
21900304,1610612747,LAL,Los Angeles,1627936,Alex Caruso,,,,15:50,2,3,0.667,0,1,0,2,2,1,1,3,4,0,1,1,1,6,6,11
21900304,1610612747,LAL,Los Angeles,1626188,Quinn Cook,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
21900304,1610612747,LAL,Los Angeles,201162,Jared Dudley,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
21900304,1610612743,DEN,Denver,203115,Will Barton,,F,,37:28:00,2,11,0.182,1,8,0.125,0,0,0,0,6,6,4,1,0,0,5,5,-2
21900304,1610612743,DEN,Denver,200794,Paul Millsap,,F,,29:59:00,8,14,0.571,2,3,0.667,3,3,1,2,6,8,2,1,1,3,4,21,-2
21900304,1610612743,DEN,Denver,203999,Nikola Jokic,,C,,34:24:00,4,12,0.333,0,2,0,5,6,0.833,1,4,5,8,3,0,5,4,13,-6
21900304,1610612743,DEN,Denver,203914,Gary Harris,,G,,32:51:00,4,9,0.444,1,3,0.333,0,0,0,1,0,1,0,1,0,1,2,9,-4
21900304,1610612743,DEN,Denver,1627750,Jamal Murray,,G,,35:44:00,8,17,0.471,0,3,0,6,6,1,0,5,5,5,2,1,1,0,22,-7
21900304,1610612743,DEN,Denver,1627823,Juancho Hernangomez,,,,12:21,2,5,0.4,0,2,0,0,0,0,2,0,2,0,1,0,0,1,4,-9
21900304,1610612743,DEN,Denver,203924,Jerami Grant,,,,18:01,2,4,0.5,1,3,0.333,0,0,0,1,1,2,2,0,1,0,2,5,-7
21900304,1610612743,DEN,Denver,203486,Mason Plumlee,,,,13:36,2,4,0.5,0,1,0,2,2,1,0,6,6,3,0,0,1,5,6,-3
21900304,1610612743,DEN,Denver,1627736,Malik Beasley,,,,13:20,3,11,0.273,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,-3
21900304,1610612743,DEN,Denver,1628420,Monte Morris,,,,12:16,2,4,0.5,1,1,1,0,0,0,0,0,0,2,0,1,0,2,5,-2
21900304,1610612743,DEN,Denver,1628470,Torrey Craig,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
21900304,1610612743,DEN,Denver,1629008,Michael Porter Jr.,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
